,A,B,"dict(A,B)",#(A)+#(B)
0,1,29,0.0,2
1,66,84,0.0,2
2,21,22,0.0,2
3,291,307,0.0,2
4,26,47,0.0,2
5,714,719,0.0,2
6,449,477,0.0,2
7,685,703,0.0,2
8,38,43,0.0,2
9,94,124,0.0,2
10,191,231,0.0,2
11,14,15,0.0,2
12,16,33,0.0,2
13,24,60,0.0,2
14,368,373,0.0,2
15,85,87,0.0,2
16,174,176,0.0,2
17,482,486,0.0,2
18,269,294,0.0,2
19,297,4210,0.0,3
20,34,4204,0.0,3
21,68,82,0.0,2
22,145,156,0.0,2
23,602,632,0.0,2
24,226,234,0.0,2
25,184,219,0.0,2
26,462,484,0.0,2
27,437,491,0.0,2
28,149,155,0.0,2
29,214,215,0.0,2
30,274,305,0.0,2
31,383,409,0.0,2
32,469,489,0.0,2
33,442,479,0.0,2
34,456,474,0.0,2
35,492,524,0.0,2
36,310,349,0.0,2
37,248,260,0.0,2
38,411,412,0.0,2
39,83,114,0.0,2
40,624,644,0.0,2
41,336,351,0.0,2
42,503,529,0.0,2
43,518,528,0.0,2
44,138,183,0.0,2
45,897,905,0.0,2
46,1003,1030,0.0,2
47,1004,1017,0.0,2
48,1032,4239,0.0,3
49,1034,1048,0.0,2
50,1162,1173,0.0,2
51,1221,1253,0.0,2
52,1339,1341,0.0,2
53,1291,1338,0.0,2
54,1343,4245,0.0,3
55,1385,1419,0.0,2
56,1237,1261,0.0,2
57,1447,1479,0.0,2
58,801,809,0.0,2
59,988,1042,0.0,2
60,1134,1135,0.0,2
61,1011,1052,0.0,2
62,940,953,0.0,2
63,1150,1176,0.0,2
64,1187,4255,0.0,3
65,143,154,0.0,2
66,168,4257,0.0,3
67,999,1036,0.0,2
68,1273,1347,0.0,2
69,1505,1521,0.0,2
70,1485,1490,0.0,2
71,1513,1559,0.0,2
72,1422,1492,0.0,2
73,1499,1592,0.0,2
74,620,626,0.0,2
75,753,757,0.0,2
76,842,888,0.0,2
77,909,918,0.0,2
78,981,4269,0.0,3
79,956,964,0.0,2
80,465,480,0.0,2
81,401,402,0.0,2
82,659,680,0.0,2
83,682,4274,0.0,3
84,701,4275,0.0,4
85,244,306,0.0,2
86,199,235,0.0,2
87,97,127,0.0,2
88,971,977,0.0,2
89,454,475,0.0,2
90,790,812,0.0,2
91,731,734,0.0,2
92,721,737,0.0,2
93,750,4284,0.0,3
94,780,833,0.0,2
95,858,866,0.0,2
96,924,967,0.0,2
97,1297,1312,0.0,2
98,1287,1307,0.0,2
99,403,423,0.0,2
100,523,534,0.0,2
101,453,483,0.0,2
102,765,822,0.0,2
103,843,887,0.0,2
