,A,B,"dict(A,B)",#(A)+#(B)
0,1,29,0.0,2
1,66,84,0.0,2
2,21,22,0.0,2
3,291,307,0.0,2
4,26,47,0.0,2
5,449,477,0.0,2
6,191,231,0.0,2
7,685,703,0.0,2
8,772,803,0.0,2
9,38,43,0.0,2
10,94,124,0.0,2
11,14,15,0.0,2
12,16,33,0.0,2
13,24,60,0.0,2
14,85,87,0.0,2
15,482,486,0.0,2
16,83,114,0.0,2
17,34,4204,0.0,3
18,68,82,0.0,2
19,174,176,0.0,2
20,269,294,0.0,2
21,297,4212,0.0,3
22,226,234,0.0,2
23,184,219,0.0,2
24,462,484,0.0,2
25,437,491,0.0,2
26,897,905,0.0,2
27,149,155,0.0,2
28,214,215,0.0,2
29,274,305,0.0,2
30,383,409,0.0,2
31,469,489,0.0,2
32,442,479,0.0,2
33,145,156,0.0,2
34,368,373,0.0,2
35,336,351,0.0,2
36,503,529,0.0,2
37,518,528,0.0,2
38,138,183,0.0,2
39,1003,1030,0.0,2
40,1004,1017,0.0,2
41,1032,4232,0.0,3
42,1034,1048,0.0,2
43,801,809,0.0,2
44,988,1042,0.0,2
45,143,154,0.0,2
46,168,4237,0.0,3
47,199,235,0.0,2
48,244,306,0.0,2
49,97,127,0.0,2
50,401,402,0.0,2
51,465,480,0.0,2
52,659,680,0.0,2
53,682,4244,0.0,3
54,701,4245,0.0,4
55,620,626,0.0,2
56,453,483,0.0,2
57,674,687,0.0,2
58,278,287,0.0,2
59,331,341,0.0,2
60,327,337,0.0,2
61,362,369,0.0,2
62,295,302,0.0,2
63,509,543,0.0,2
64,457,478,0.0,2
65,137,161,0.0,2
66,352,358,0.0,2
67,602,632,0.0,2
68,248,260,0.0,2
69,310,349,0.0,2
70,411,412,0.0,2
71,715,724,0.0,2
72,736,758,0.0,2
73,731,734,0.0,2
74,999,1036,0.0,2
75,1162,1173,0.0,2
76,1221,1253,0.0,2
77,1237,1261,0.0,2
78,753,757,0.0,2
79,721,737,0.0,2
80,750,4271,0.0,3
81,780,833,0.0,2
82,858,866,0.0,2
83,842,888,0.0,2
84,924,967,0.0,2
85,909,918,0.0,2
86,981,4277,0.0,3
87,956,964,0.0,2
88,971,977,0.0,2
89,1297,1312,0.0,2
90,765,822,0.0,2
91,843,887,0.0,2
92,998,1009,0.0,2
93,1369,1374,0.0,2
94,1406,4285,0.0,3
95,567,585,0.0,2
96,662,686,0.0,2
97,767,821,0.0,2
98,868,881,0.0,2
99,885,4290,0.0,3
100,1111,1122,0.0,2
101,1224,1229,0.0,2
102,1203,1204,0.0,2
103,1282,1344,0.0,2
104,1512,1579,0.0,2
105,1589,4296,0.0,3
