customer_id,mean,median,max,min,membership_period
OA832399,4.833333333,5,8,2,47
PL270116,5.083333333,5,7,3,47
OA974876,4.583333333,5,6,3,47
HD024127,4.833333333,4.5,7,2,47
HD661448,3.916666667,4,6,1,47
IK271057,3.75,3.5,5,2,47
HI324666,3.916666667,3.5,7,2,47
AS647421,4.5,4,9,2,47
AS069821,4.083333333,3.5,7,2,47
GD039425,4.666666667,4.5,7,3,47
OA789036,4.75,5,7,1,47
AS058623,4.5,5,6,3,47
AS857207,4.5,5,8,2,47
AS625883,4.75,5,6,2,47
HD782984,4.833333333,5,7,2,47
HI804186,4.833333333,5,7,2,47
AS732240,4.666666667,5,7,2,47
PL834411,4.916666667,4.5,8,1,47
HD516059,4.166666667,4,7,1,47
HD194702,4.916666667,5,8,1,47
IK102369,4.75,5,6,3,47
AS183155,4.5,4.5,7,2,47
HI339146,4.5,4.5,7,2,47
AS476267,4.916666667,5,7,3,47
PL928545,4.333333333,4,7,2,47
OA372777,3.666666667,4,6,1,47
PL765022,4.583333333,4.5,7,3,47
OA803393,4.75,4.5,8,2,47
OA071756,4.166666667,4,6,2,47
HI598974,5.083333333,5,7,3,47
GD214739,5.416666667,5,8,3,47
OA557824,4.25,4,8,1,47
IK098074,4.083333333,3.5,7,1,47
HD792156,4.666666667,5,7,2,47
OA478509,4.666666667,5,7,2,47
HI388582,4.833333333,5,6,3,47
TS210661,4.833333333,4.5,8,3,47
TS837282,5.583333333,5.5,8,3,47
OA758157,4,4,6,2,47
OA790739,4.833333333,5,7,3,47
AS734592,5.333333333,6,8,2,47
GD022268,4.166666667,5,7,1,47
IK059803,4.25,4,6,3,47
TS487207,4,4,6,2,47
OA994859,5.5,5,9,3,47
PL221419,5.5,5.5,9,3,47
HI570349,4.916666667,5,7,2,47
TS945284,4.583333333,4.5,7,3,47
PL152568,4.666666667,5,8,2,47
GD967749,4.666666667,4.5,8,3,47
HI635742,4.416666667,4.5,6,2,47
AS970810,4.333333333,4,6,2,47
GD163149,4.916666667,5,8,2,47
HD124700,4.5,4,8,2,47
HD349501,4.833333333,5,8,1,47
GD126553,5.333333333,5,8,3,47
AS926104,4.416666667,4.5,6,3,47
GD360440,4.5,5,6,1,47
IK701555,4.75,5,6,1,47
AS777651,4.166666667,3.5,7,2,47
PL241896,4.333333333,4,7,2,47
PL920046,4.333333333,4,8,2,47
PL367795,3.416666667,4,7,1,46
HI324110,3.416666667,3,7,1,46
OA630902,4.666666667,5,8,3,46
GD292781,4.666666667,5,7,2,46
PL912172,4.5,4.5,7,2,46
HI582217,4.666666667,4.5,7,3,46
TS038130,4.75,5,7,2,46
TS200932,4.916666667,5,7,2,46
GD728611,3.833333333,3.5,6,1,46
HI525851,4.833333333,4.5,8,2,46
PL540895,4.666666667,4.5,7,2,46
PL410964,4.25,4,7,1,46
HI728364,4.25,4,7,2,46
HI373547,4,3,8,2,46
GD489678,4.75,4.5,9,2,46
OA504016,3.833333333,4,6,2,46
IK124414,5.083333333,5,8,4,46
IK351897,4.333333333,4,8,2,46
TS273269,3.166666667,3.5,5,1,46
IK055692,5.666666667,5.5,7,5,46
TS035920,4.75,5,7,2,46
GD555235,4.333333333,4.5,7,1,46
AS099984,4.5,4.5,7,2,46
TS471939,4.916666667,5,7,3,46
OA931227,4.5,5,6,3,46
HD455858,4.916666667,5,7,3,46
PL487301,4.583333333,5,6,1,46
GD813654,4.5,5,8,1,46
HD378274,4.333333333,4.5,6,2,46
OA236156,4.083333333,3.5,8,2,46
PL889178,3.75,4,5,1,46
OA776086,3.5,3.5,5,2,46
AS677821,3.916666667,4,6,2,46
OA818666,5.083333333,4,9,3,46
PL342449,4.166666667,4,7,1,46
PL825454,4.416666667,4,7,3,46
TS437647,4.666666667,5,8,1,46
HI146430,4.583333333,5,8,1,46
GD437531,4.416666667,4.5,7,1,46
OA103624,5.166666667,5,8,3,46
OA933190,4.583333333,4.5,7,3,46
IK624416,4.083333333,4,7,3,46
GD212992,5.25,5,9,3,46
IK999272,3.916666667,4,5,2,46
GD163914,3.833333333,4,5,1,46
PL400479,4.166666667,4,6,2,46
PL942936,4.583333333,5,6,3,46
IK006139,5.333333333,5,8,3,46
IK902787,4.083333333,4.5,6,2,46
PL815569,4.25,4.5,6,2,46
HI216184,4,4,7,2,46
HI965956,4.666666667,5,6,3,46
OA225076,4.333333333,4.5,7,1,46
TS106731,4.416666667,5,7,2,46
HI228454,4.583333333,4,8,2,46
HI900494,5.75,6,8,3,46
PL456313,3.75,3.5,8,1,46
PL779242,4.5,4,6,3,46
TS959961,5,5,7,3,46
AS099118,4.5,5,6,1,46
IK331136,4.416666667,4,6,2,46
AS834706,4.75,5,7,3,46
TS179365,3.916666667,4,6,2,46
AS614421,5.083333333,5.5,7,3,46
OA747936,5.25,5,8,3,46
PL494564,4.416666667,4,7,3,46
AS299544,4.083333333,4,6,2,46
OA261861,5.416666667,5.5,8,1,46
HD120698,4.833333333,5,7,3,46
HI328204,5.083333333,5.5,8,2,45
IK695797,3.833333333,4.5,6,1,45
HI778223,4.25,4.5,7,2,45
GD235669,4.666666667,4.5,7,2,45
AS637476,4.25,4.5,5,3,45
AS171994,4.583333333,5,6,3,45
PL245159,4.416666667,5,7,2,45
GD470986,4.083333333,4.5,6,1,45
HD287652,4.333333333,4,6,3,45
AS933597,3.916666667,3.5,8,1,45
PL787344,3.333333333,3,6,1,45
IK313475,5.583333333,5.5,7,3,45
OA986961,4.666666667,4,8,3,45
OA266742,5.583333333,5.5,8,3,45
IK461411,4.833333333,5,7,2,45
TS244750,4.75,4,7,3,45
OA753193,4.666666667,5,8,2,45
GD084870,4.166666667,4.5,6,2,45
HD453390,4,4,7,2,45
GD138948,4.916666667,5,8,1,45
TS673226,4.75,4,8,3,45
IK357051,4.25,4,8,2,45
HI859298,3.833333333,4,5,1,45
AS065870,4.666666667,4,8,3,45
GD700613,4,4,7,2,45
TS554037,4.833333333,5,7,2,45
PL827485,4.416666667,4,8,1,45
AS828426,4.166666667,4,6,1,45
GD009242,4.75,5,7,2,45
HI092194,4.833333333,4.5,9,3,45
PL812388,4.416666667,5,7,2,45
OA025439,4.583333333,4,8,2,45
TS023216,4.25,4,8,1,45
TS440617,4.666666667,5,7,2,45
HI525283,4.833333333,5,6,4,45
GD812702,4.416666667,5,7,1,45
IK560941,4.666666667,5,6,3,45
GD914874,4.666666667,4,8,3,45
AS726714,4.333333333,4.5,6,2,45
HI639424,4.833333333,5.5,8,1,45
OA310354,4.5,5,7,3,45
HI720107,4.583333333,5,7,1,45
HD296157,4.25,4,7,2,45
AS015315,4.833333333,5,7,3,45
HD625027,4.75,5,8,3,45
HI323901,4.833333333,5,7,3,45
TS614929,4.416666667,4.5,6,3,45
AS868124,4.916666667,5.5,7,2,45
HI499195,3.666666667,3,7,2,45
PL445190,3.833333333,4,5,2,45
PL117922,3.916666667,3,7,1,45
GD837157,5.416666667,6,7,2,45
OA375487,4.083333333,4.5,6,1,45
PL863573,5.166666667,5,8,3,44
IK155697,4.25,5,6,1,44
AS132988,5.333333333,5.5,7,2,44
HI708658,4.166666667,4,7,1,44
TS223691,4.083333333,4,6,2,44
OA823412,5.5,6,8,3,44
OA545809,4.333333333,4,6,3,44
AS386696,4,4,6,2,44
IK219142,4.75,4.5,7,2,44
HI428108,5,5,8,3,44
TS803730,4.75,5,6,3,44
GD266112,3.75,4,6,2,44
GD687485,4.916666667,5,7,2,44
TS861244,4.5,4,7,3,44
OA313854,3.75,3.5,7,1,44
PL101549,4.75,4.5,7,3,44
OA484479,4.166666667,5,6,1,44
HI978590,5.166666667,5,9,3,44
HD405727,3.583333333,4,5,1,44
HD145501,4.916666667,5,7,3,44
HI920533,5,5.5,8,2,44
TS386881,4.416666667,4.5,6,1,44
TS864496,4.583333333,4,8,2,44
OA278526,4.916666667,5,6,3,44
GD639344,3.833333333,4.5,5,2,44
HD862235,4.166666667,4,6,1,44
HI531972,4.083333333,4,7,1,44
OA368057,3.583333333,4,6,2,44
TS675030,4.833333333,5,9,2,44
OA085890,3.916666667,4,6,2,44
PL876202,4.166666667,4,7,2,44
OA250167,4.166666667,4,7,2,44
TS357089,4.416666667,4.5,6,2,44
OA869136,4.083333333,4,6,3,44
TS147383,3.75,4,5,1,44
AS875048,5.166666667,5,8,3,44
GD687670,4.333333333,4.5,7,2,44
IK787243,4.333333333,5,6,2,44
AS092144,4.333333333,4,8,1,44
IK446815,5.333333333,5.5,9,2,44
TS085215,5.25,5,7,2,44
PL652437,4.833333333,5,7,2,44
HI929904,4.416666667,4,6,3,44
HD733934,4.666666667,5,7,2,44
IK516841,4.583333333,5,6,3,44
HI072340,5.083333333,4.5,9,3,44
HI963277,3.833333333,4,6,2,44
IK248737,4,4,6,2,44
OA955085,4.5,4,8,2,44
GD257904,4.75,4,7,3,44
HI184733,4.416666667,4,6,3,44
HI969840,4.75,4.5,7,3,44
IK569155,4.916666667,4.5,8,1,44
OA255039,4.833333333,5,7,3,43
TS621030,3.916666667,4,5,2,43
TS364512,5.25,5,8,2,43
OA427079,3.833333333,4,6,2,43
IK986011,4.833333333,5,6,1,43
AS124354,4.583333333,4,7,3,43
HD867526,4.25,4.5,7,2,43
HD379875,4.833333333,4.5,7,3,43
AS736672,4.583333333,5,6,1,43
OA285691,5.416666667,5,7,3,43
PL634236,3.583333333,3,7,1,43
IK051737,4.5,4.5,7,2,43
OA628170,4.666666667,5,8,1,43
IK018825,5.25,5,8,3,43
HI673538,5.75,6,8,3,43
IK433428,4.25,5,6,1,43
GD004422,5.666666667,6,8,2,43
TS861788,4.666666667,5,7,1,43
AS603613,4.75,4,8,3,43
TS161670,5.75,5.5,9,1,43
HD862369,4.833333333,5.5,8,1,43
PL507166,4.083333333,4,7,3,43
HI003514,4.333333333,3.5,8,2,43
TS995299,4.5,4.5,7,2,43
PL753720,4.333333333,4,7,2,43
IK292139,4.416666667,4,7,2,43
HD289026,4.083333333,4,9,1,43
HI376364,3.916666667,4,6,2,43
HD561131,4.083333333,4,6,3,43
TS548118,4.416666667,4,8,1,43
OA544396,4.75,5,7,1,43
IK733351,4.583333333,4,9,3,43
GD280871,4.25,4.5,7,1,43
HD914078,4.416666667,4,6,3,43
TS159187,4.5,4.5,6,3,43
IK266002,4.416666667,5,7,1,43
PL144435,3.833333333,4,5,1,43
HD012547,4.083333333,4,7,2,43
TS624020,5.25,5.5,7,2,43
GD693914,5.083333333,5,9,2,43
HD981950,4.583333333,4,8,2,43
GD082396,4.833333333,5,7,2,43
PL739117,4.666666667,5,7,3,43
PL677323,5.333333333,5.5,7,3,43
IK096992,4.166666667,4,8,2,43
TS718154,4.583333333,4.5,7,2,43
OA962428,4.416666667,4,6,2,43
HI270880,4,3,7,1,43
GD879805,4.083333333,4,6,1,43
IK616816,4.333333333,4,7,3,43
PL394207,4.833333333,5,7,2,43
GD362521,3.666666667,4,7,1,43
HD775663,4.916666667,5,7,3,43
HD459783,4.416666667,4.5,9,1,43
GD479679,4.333333333,4,9,2,43
IK886752,5.25,5,7,3,43
HD387344,4.166666667,4,6,2,43
OA763272,4.25,4.5,7,1,43
HI564909,5,5,7,2,43
TS536483,4.916666667,5,8,1,43
IK559274,4.25,4.5,7,1,43
HI405166,4.416666667,5,7,2,43
AS468297,4,4,7,1,43
TS637007,4.25,4,8,2,43
TS168517,4.75,4.5,7,2,43
AS712913,5,5,7,2,43
OA075024,5,5,8,2,43
IK799332,4.583333333,4,8,1,43
PL929818,4.083333333,4,7,2,43
TS849376,4.833333333,4.5,7,3,43
TS571375,4.333333333,4,9,2,43
IK377403,4.416666667,4.5,7,1,42
HD845666,4.5,4.5,7,2,42
PL081925,4.25,4.5,7,2,42
OA768446,4,4,6,1,42
HD576900,4.25,4,6,2,42
GD152639,3.833333333,3.5,7,2,42
IK453330,4.5,4.5,7,1,42
AS258098,3.916666667,4,6,2,42
IK130171,4.666666667,5,6,3,42
AS309101,3.75,3.5,7,1,42
AS275166,3.5,3,6,1,42
IK771427,3.75,3.5,6,1,42
HD484088,4.333333333,4,6,3,42
HD176214,4.416666667,4,7,2,42
HI853357,4.416666667,4,7,3,42
GD589615,5.083333333,5,7,4,42
GD763218,4.166666667,4,6,3,42
AS404579,4.75,5,7,2,42
OA352833,5.083333333,5.5,7,3,42
HI201910,4.916666667,5,7,2,42
IK740134,4.5,4.5,8,1,42
IK580114,4.666666667,5,8,3,42
TS356315,5.083333333,5,8,1,42
TS922639,4.666666667,5,7,2,42
PL704025,4.916666667,4.5,8,2,42
HD177050,4.25,4.5,7,1,42
OA862614,4.5,4,7,3,42
AS105107,3.916666667,4,7,1,42
AS359364,3.75,4,6,1,42
OA462757,4.916666667,5,7,2,42
PL664277,5.083333333,5,8,2,42
HD995428,3.916666667,4,8,1,42
IK751998,5.25,5,10,3,42
GD064521,4.666666667,5,7,2,42
HD708558,4.583333333,4,7,3,42
PL343970,5.25,5,7,4,42
IK983460,5.25,5,8,3,42
IK608489,4.833333333,5,8,2,42
IK200910,4.666666667,4.5,8,2,42
AS137764,4.666666667,5,6,2,42
TS640338,4.583333333,4.5,7,2,42
AS614406,4.25,4.5,7,2,42
HD762188,3.833333333,3.5,6,2,42
HI826338,3.75,4,6,1,42
GD672303,4.583333333,5,7,2,42
TS321715,4.583333333,4.5,8,1,42
TS798789,4.666666667,4.5,8,3,42
HD035838,4.833333333,4.5,7,2,42
HI183246,4.75,5,8,1,42
TS145533,4.166666667,4,7,2,42
GD323923,4.583333333,5,7,2,42
AS211705,5.166666667,6,7,1,42
IK051201,5.083333333,5.5,7,2,42
AS038564,4.166666667,4.5,6,2,42
PL576453,5,5,7,2,41
PL351843,5.166666667,5.5,9,1,41
HD134052,4.916666667,5,7,2,41
PL046622,5.25,5.5,9,1,41
AS670699,4.75,4.5,8,1,41
PL703435,4.333333333,4,8,1,41
IK357689,4,4,6,1,41
TS413023,5,5,7,2,41
HD581148,5,5,7,3,41
HI342075,5.25,5.5,9,2,41
HI777528,4.416666667,4,8,3,41
IK766314,4,4,6,1,41
GD670693,4.916666667,5,7,3,41
OA885929,4.166666667,4.5,7,1,41
OA737426,4.75,5,8,2,41
OA791937,4.083333333,4,6,2,41
AS297966,5.25,5,8,2,41
OA524517,4.666666667,5,9,2,41
PL504040,4.583333333,5,7,3,41
HD894637,4.75,5,7,3,41
IK324758,3.75,3.5,7,1,41
HI995135,4.333333333,4,7,2,41
AS462796,5,5.5,7,2,41
PL865030,4.333333333,4,7,3,41
HI337186,3.916666667,3.5,7,2,41
AS584189,4.25,4,7,2,41
OA551532,4.666666667,5,6,2,41
AS009373,5.083333333,5,7,3,41
OA963991,3.5,3.5,6,1,41
TS230934,5.416666667,6,8,2,41
OA543860,4.833333333,5,7,2,41
GD788407,3.916666667,4,6,1,41
PL817645,3.916666667,3.5,8,1,41
TS832330,5.416666667,6,7,1,41
OA166132,4.166666667,4,7,2,41
IK025556,4.833333333,5,8,2,41
OA408529,4.166666667,4,7,1,41
IK417386,4.5,4.5,7,2,41
OA098556,4.75,4,10,2,41
IK320222,4.666666667,4.5,7,3,41
HI650765,4.666666667,4.5,7,3,41
HI196175,4.666666667,5,6,3,41
IK930070,4.583333333,5,7,2,41
TS797358,4.833333333,5,7,1,41
OA751110,5,5,6,3,41
GD010455,4.833333333,5.5,7,2,41
GD024299,3.75,4,6,1,41
IK339856,4.333333333,4,7,2,41
PL967244,4.583333333,4,7,2,41
AS227898,4.416666667,4.5,7,2,41
IK390163,4.416666667,4.5,7,2,41
HD767925,4.333333333,4,8,2,41
HD537465,4.5,5,6,2,41
OA016045,4.5,5,7,1,41
GD649455,5,4.5,8,3,41
HD252906,4.5,4,7,2,41
GD020270,4.25,4,6,3,41
HI713224,4.916666667,4.5,8,3,41
HD810948,4.166666667,4,6,2,41
AS515526,5,5,9,2,41
TS036404,4.5,5,6,3,41
IK986467,4.666666667,5,6,3,41
HI207536,5.25,5,9,2,41
GD001777,3.916666667,3,7,2,40
OA409321,4.333333333,4.5,7,2,40
HD074397,5.166666667,4.5,8,3,40
GD900956,5.083333333,5,8,2,40
OA003002,4.25,4,8,2,40
AS926099,4.833333333,5,7,3,40
OA869095,4.416666667,3.5,8,2,40
HI654756,4.833333333,5,8,2,40
TS558026,4.916666667,5,9,2,40
GD289305,4.5,4,9,2,40
PL152339,4.166666667,4,8,1,40
HI702171,5.583333333,6,7,3,40
GD635509,4.916666667,5,8,3,40
HI015767,5,4.5,9,2,40
IK670283,5.333333333,5.5,7,3,40
TS660622,4.5,4.5,8,1,40
TS426363,4.333333333,4.5,6,1,40
PL648343,4.083333333,4,7,2,40
HD052411,3.75,3,6,2,40
OA419310,5.333333333,5.5,8,3,40
PL758046,5.333333333,5.5,8,2,40
OA808374,4.666666667,5,7,3,40
IK755649,4.75,5,8,3,40
HI098767,4.166666667,4,6,2,40
GD970368,4.25,4.5,6,2,40
TS260662,4.583333333,5,6,3,40
GD873389,5,4.5,8,2,40
OA129078,5.166666667,5,8,3,40
HD137947,4.666666667,4.5,8,2,40
HD862903,4.333333333,4,6,3,40
PL786455,4.833333333,4.5,7,3,40
TS052320,4.583333333,4,7,2,40
HD973885,4.75,5,7,2,40
TS520001,4.416666667,4.5,8,1,40
PL710888,5,5,7,3,40
HI518408,5.333333333,5,8,3,40
HD847713,4.25,4,7,2,40
AS152185,4.833333333,5,8,3,40
HD361714,4.5,4.5,8,3,40
AS771185,4.416666667,4.5,7,1,40
HI378471,4.666666667,4.5,7,3,40
PL188904,4.75,4.5,10,2,40
IK373678,4.916666667,5,6,2,40
HI871259,3.916666667,3.5,7,2,40
TS093084,4.333333333,4,7,2,40
HD513936,4.916666667,5,7,2,40
AS867281,4.583333333,4,8,3,40
TS170828,4.416666667,4,8,2,40
HI769940,4.166666667,4,7,2,40
PL552906,4.583333333,4,7,2,40
GD781025,4.333333333,4,6,3,40
AS275287,4.083333333,4.5,6,1,40
PL249996,4.25,4.5,6,2,40
PL999250,4.75,5,7,2,40
IK883066,4.083333333,4,7,2,40
PL020585,4.666666667,4.5,7,3,40
GD401034,4.416666667,4,6,3,40
OA423930,4.083333333,4,7,1,40
HD014166,4.666666667,4.5,8,2,40
PL562542,4.833333333,5,8,3,40
HI086872,4.75,4.5,7,3,40
OA834443,4.083333333,4,7,1,40
OA719899,4.333333333,4,7,3,40
TS278201,4.75,4.5,8,3,40
AS866446,4.333333333,4,7,2,40
OA096118,4.75,4.5,8,2,40
PL709791,4.916666667,5,8,3,40
HI933949,4.166666667,4,7,2,39
AS352209,4.083333333,4.5,6,1,39
PL093071,4.916666667,5.5,8,2,39
AS575700,4.083333333,3,7,2,39
PL251182,5.166666667,5.5,7,3,39
TS286542,4.75,5,8,2,39
OA388131,3.75,3.5,7,1,39
AS141460,4.75,5,7,1,39
TS959147,4.916666667,5,8,2,39
HI050493,4.833333333,5,6,3,39
GD733240,4.083333333,4,5,3,39
HI954427,3.916666667,4,6,1,39
IK205407,4.583333333,5,7,3,39
GD655061,4.166666667,4.5,7,1,39
IK066398,4.666666667,4,8,2,39
GD141355,4.5,5,6,2,39
HI140455,4.75,5,8,1,39
OA842166,4.916666667,5,7,2,39
PL614797,5.083333333,5,7,2,39
HI128243,3.916666667,4,6,3,39
TS333555,4.666666667,4.5,7,3,39
TS126185,5.333333333,6,9,1,39
AS470817,4.333333333,4.5,7,2,39
HI468227,4.333333333,4.5,6,2,39
PL900188,4.333333333,4.5,6,3,39
PL506207,4.833333333,5,8,3,39
IK431402,4,4,6,1,39
IK086599,4.916666667,4.5,9,3,39
HI244067,4.166666667,4,7,1,39
OA924324,3.5,3.5,5,2,39
PL011886,4.083333333,4,8,2,39
OA101976,4.666666667,5,6,3,39
AS790905,4.166666667,4,7,2,39
HD734433,4.333333333,4,8,2,39
AS499893,4.25,4,7,2,39
OA290351,4.916666667,5,8,3,39
TS417170,4,4,6,1,39
AS588186,3.916666667,4,6,1,39
HI374524,5,5.5,8,1,39
PL316635,4.583333333,4.5,7,3,39
TS332691,4.083333333,4,7,2,39
HD611284,3.916666667,4,6,2,39
PL505814,4.666666667,5,6,3,39
IK890445,5,4.5,9,2,39
HD148659,4.166666667,4.5,7,2,39
HD374247,4.583333333,4.5,7,1,39
AS077151,5.166666667,5,9,3,39
HI580283,4.75,4.5,8,1,39
PL589030,5.25,5.5,8,2,39
OA000310,4.916666667,5,7,3,39
PL601016,4.5,4,7,3,39
AS946582,4.916666667,5,7,2,39
PL959416,5.083333333,5,7,4,39
GD934041,4.583333333,4,7,1,39
IK534014,3.666666667,3.5,6,2,39
OA854705,4.583333333,4.5,7,2,39
HD242691,5.666666667,5.5,8,3,38
PL186773,4,4.5,7,2,38
TS721551,3.916666667,4,7,1,38
OA602923,3.75,4,5,2,38
AS679641,5.083333333,6,8,1,38
PL587525,4.25,4,9,2,38
OA297467,4,4,8,1,38
