,月内平均値,月内中央値,月内最大値,月内最小値,会員期間,cluster
0,4.833333333,5.0,8,2,47,1
1,5.083333333,5.0,7,3,47,1
2,4.583333333,5.0,6,3,47,1
3,4.833333333,4.5,7,2,47,1
4,3.916666667,4.0,6,1,47,1
5,3.75,3.5,5,2,47,1
6,3.916666667,3.5,7,2,47,1
7,4.5,4.0,9,2,47,1
8,4.083333333,3.5,7,2,47,1
9,4.666666667,4.5,7,3,47,1
10,4.75,5.0,7,1,47,1
11,4.5,5.0,6,3,47,1
12,4.5,5.0,8,2,47,1
13,4.75,5.0,6,2,47,1
14,4.833333333,5.0,7,2,47,1
15,4.833333333,5.0,7,2,47,1
16,4.666666667,5.0,7,2,47,1
17,4.916666667,4.5,8,1,47,1
18,4.166666667,4.0,7,1,47,1
19,4.916666667,5.0,8,1,47,1
20,4.75,5.0,6,3,47,1
21,4.5,4.5,7,2,47,1
22,4.5,4.5,7,2,47,1
23,4.916666667,5.0,7,3,47,1
24,4.333333333,4.0,7,2,47,1
25,3.666666667,4.0,6,1,47,1
26,4.583333333,4.5,7,3,47,1
27,4.75,4.5,8,2,47,1
28,4.166666667,4.0,6,2,47,1
29,5.083333333,5.0,7,3,47,1
30,5.416666667,5.0,8,3,47,1
31,4.25,4.0,8,1,47,1
32,4.083333333,3.5,7,1,47,1
33,4.666666667,5.0,7,2,47,1
34,4.666666667,5.0,7,2,47,1
35,4.833333333,5.0,6,3,47,1
36,4.833333333,4.5,8,3,47,1
37,5.583333333,5.5,8,3,47,1
38,4.0,4.0,6,2,47,1
39,4.833333333,5.0,7,3,47,1
40,5.333333333,6.0,8,2,47,1
41,4.166666667,5.0,7,1,47,1
42,4.25,4.0,6,3,47,1
43,4.0,4.0,6,2,47,1
44,5.5,5.0,9,3,47,1
45,5.5,5.5,9,3,47,1
46,4.916666667,5.0,7,2,47,1
47,4.583333333,4.5,7,3,47,1
48,4.666666667,5.0,8,2,47,1
49,4.666666667,4.5,8,3,47,1
50,4.416666667,4.5,6,2,47,1
51,4.333333333,4.0,6,2,47,1
52,4.916666667,5.0,8,2,47,1
53,4.5,4.0,8,2,47,1
54,4.833333333,5.0,8,1,47,1
55,5.333333333,5.0,8,3,47,1
56,4.416666667,4.5,6,3,47,1
57,4.5,5.0,6,1,47,1
58,4.75,5.0,6,1,47,1
59,4.166666667,3.5,7,2,47,1
60,4.333333333,4.0,7,2,47,1
61,4.333333333,4.0,8,2,47,1
62,3.416666667,4.0,7,1,46,1
63,3.416666667,3.0,7,1,46,1
64,4.666666667,5.0,8,3,46,1
65,4.666666667,5.0,7,2,46,1
66,4.5,4.5,7,2,46,1
67,4.666666667,4.5,7,3,46,1
68,4.75,5.0,7,2,46,1
69,4.916666667,5.0,7,2,46,1
70,3.833333333,3.5,6,1,46,1
71,4.833333333,4.5,8,2,46,1
72,4.666666667,4.5,7,2,46,1
73,4.25,4.0,7,1,46,1
74,4.25,4.0,7,2,46,1
75,4.0,3.0,8,2,46,1
76,4.75,4.5,9,2,46,1
77,3.833333333,4.0,6,2,46,1
78,5.083333333,5.0,8,4,46,1
79,4.333333333,4.0,8,2,46,1
80,3.166666667,3.5,5,1,46,1
81,5.666666667,5.5,7,5,46,1
82,4.75,5.0,7,2,46,1
83,4.333333333,4.5,7,1,46,1
84,4.5,4.5,7,2,46,1
85,4.916666667,5.0,7,3,46,1
86,4.5,5.0,6,3,46,1
87,4.916666667,5.0,7,3,46,1
88,4.583333333,5.0,6,1,46,1
89,4.5,5.0,8,1,46,1
90,4.333333333,4.5,6,2,46,1
91,4.083333333,3.5,8,2,46,1
92,3.75,4.0,5,1,46,1
93,3.5,3.5,5,2,46,1
94,3.916666667,4.0,6,2,46,1
95,5.083333333,4.0,9,3,46,1
96,4.166666667,4.0,7,1,46,1
97,4.416666667,4.0,7,3,46,1
98,4.666666667,5.0,8,1,46,1
99,4.583333333,5.0,8,1,46,1
100,4.416666667,4.5,7,1,46,1
101,5.166666667,5.0,8,3,46,1
102,4.583333333,4.5,7,3,46,1
103,4.083333333,4.0,7,3,46,1
104,5.25,5.0,9,3,46,1
105,3.916666667,4.0,5,2,46,1
106,3.833333333,4.0,5,1,46,1
107,4.166666667,4.0,6,2,46,1
108,4.583333333,5.0,6,3,46,1
109,5.333333333,5.0,8,3,46,1
110,4.083333333,4.5,6,2,46,1
111,4.25,4.5,6,2,46,1
112,4.0,4.0,7,2,46,1
113,4.666666667,5.0,6,3,46,1
114,4.333333333,4.5,7,1,46,1
115,4.416666667,5.0,7,2,46,1
116,4.583333333,4.0,8,2,46,1
117,5.75,6.0,8,3,46,1
118,3.75,3.5,8,1,46,1
119,4.5,4.0,6,3,46,1
120,5.0,5.0,7,3,46,1
121,4.5,5.0,6,1,46,1
122,4.416666667,4.0,6,2,46,1
123,4.75,5.0,7,3,46,1
124,3.916666667,4.0,6,2,46,1
125,5.083333333,5.5,7,3,46,1
126,5.25,5.0,8,3,46,1
127,4.416666667,4.0,7,3,46,1
128,4.083333333,4.0,6,2,46,1
129,5.416666667,5.5,8,1,46,1
130,4.833333333,5.0,7,3,46,1
131,5.083333333,5.5,8,2,45,1
132,3.833333333,4.5,6,1,45,1
133,4.25,4.5,7,2,45,1
134,4.666666667,4.5,7,2,45,1
135,4.25,4.5,5,3,45,1
136,4.583333333,5.0,6,3,45,1
137,4.416666667,5.0,7,2,45,1
138,4.083333333,4.5,6,1,45,1
139,4.333333333,4.0,6,3,45,1
140,3.916666667,3.5,8,1,45,1
141,3.333333333,3.0,6,1,45,1
142,5.583333333,5.5,7,3,45,1
143,4.666666667,4.0,8,3,45,1
144,5.583333333,5.5,8,3,45,1
145,4.833333333,5.0,7,2,45,1
146,4.75,4.0,7,3,45,1
147,4.666666667,5.0,8,2,45,1
148,4.166666667,4.5,6,2,45,1
149,4.0,4.0,7,2,45,1
150,4.916666667,5.0,8,1,45,1
151,4.75,4.0,8,3,45,1
152,4.25,4.0,8,2,45,1
153,3.833333333,4.0,5,1,45,1
154,4.666666667,4.0,8,3,45,1
155,4.0,4.0,7,2,45,1
156,4.833333333,5.0,7,2,45,1
157,4.416666667,4.0,8,1,45,1
158,4.166666667,4.0,6,1,45,1
159,4.75,5.0,7,2,45,1
160,4.833333333,4.5,9,3,45,1
161,4.416666667,5.0,7,2,45,1
162,4.583333333,4.0,8,2,45,1
163,4.25,4.0,8,1,45,1
164,4.666666667,5.0,7,2,45,1
165,4.833333333,5.0,6,4,45,1
166,4.416666667,5.0,7,1,45,1
167,4.666666667,5.0,6,3,45,1
168,4.666666667,4.0,8,3,45,1
169,4.333333333,4.5,6,2,45,1
170,4.833333333,5.5,8,1,45,1
171,4.5,5.0,7,3,45,1
172,4.583333333,5.0,7,1,45,1
173,4.25,4.0,7,2,45,1
174,4.833333333,5.0,7,3,45,1
175,4.75,5.0,8,3,45,1
176,4.833333333,5.0,7,3,45,1
177,4.416666667,4.5,6,3,45,1
178,4.916666667,5.5,7,2,45,1
179,3.666666667,3.0,7,2,45,1
180,3.833333333,4.0,5,2,45,1
181,3.916666667,3.0,7,1,45,1
182,5.416666667,6.0,7,2,45,1
183,4.083333333,4.5,6,1,45,1
184,5.166666667,5.0,8,3,44,1
185,4.25,5.0,6,1,44,1
186,5.333333333,5.5,7,2,44,1
187,4.166666667,4.0,7,1,44,1
188,4.083333333,4.0,6,2,44,1
189,5.5,6.0,8,3,44,1
190,4.333333333,4.0,6,3,44,1
191,4.0,4.0,6,2,44,1
192,4.75,4.5,7,2,44,1
193,5.0,5.0,8,3,44,1
194,4.75,5.0,6,3,44,1
195,3.75,4.0,6,2,44,1
196,4.916666667,5.0,7,2,44,1
197,4.5,4.0,7,3,44,1
198,3.75,3.5,7,1,44,1
199,4.75,4.5,7,3,44,1
200,4.166666667,5.0,6,1,44,1
201,5.166666667,5.0,9,3,44,1
202,3.583333333,4.0,5,1,44,1
203,4.916666667,5.0,7,3,44,1
204,5.0,5.5,8,2,44,1
205,4.416666667,4.5,6,1,44,1
206,4.583333333,4.0,8,2,44,1
207,4.916666667,5.0,6,3,44,1
208,3.833333333,4.5,5,2,44,1
209,4.166666667,4.0,6,1,44,1
210,4.083333333,4.0,7,1,44,1
211,3.583333333,4.0,6,2,44,1
212,4.833333333,5.0,9,2,44,1
213,3.916666667,4.0,6,2,44,1
214,4.166666667,4.0,7,2,44,1
215,4.166666667,4.0,7,2,44,1
216,4.416666667,4.5,6,2,44,1
217,4.083333333,4.0,6,3,44,1
218,3.75,4.0,5,1,44,1
219,5.166666667,5.0,8,3,44,1
220,4.333333333,4.5,7,2,44,1
221,4.333333333,5.0,6,2,44,1
222,4.333333333,4.0,8,1,44,1
223,5.333333333,5.5,9,2,44,1
224,5.25,5.0,7,2,44,1
225,4.833333333,5.0,7,2,44,1
226,4.416666667,4.0,6,3,44,1
227,4.666666667,5.0,7,2,44,1
228,4.583333333,5.0,6,3,44,1
229,5.083333333,4.5,9,3,44,1
230,3.833333333,4.0,6,2,44,1
231,4.0,4.0,6,2,44,1
232,4.5,4.0,8,2,44,1
233,4.75,4.0,7,3,44,1
234,4.416666667,4.0,6,3,44,1
235,4.75,4.5,7,3,44,1
236,4.916666667,4.5,8,1,44,1
237,4.833333333,5.0,7,3,43,1
238,3.916666667,4.0,5,2,43,1
239,5.25,5.0,8,2,43,1
240,3.833333333,4.0,6,2,43,1
241,4.833333333,5.0,6,1,43,1
242,4.583333333,4.0,7,3,43,1
243,4.25,4.5,7,2,43,1
244,4.833333333,4.5,7,3,43,1
245,4.583333333,5.0,6,1,43,1
246,5.416666667,5.0,7,3,43,1
247,3.583333333,3.0,7,1,43,1
248,4.5,4.5,7,2,43,1
249,4.666666667,5.0,8,1,43,1
250,5.25,5.0,8,3,43,1
251,5.75,6.0,8,3,43,1
252,4.25,5.0,6,1,43,1
253,5.666666667,6.0,8,2,43,1
254,4.666666667,5.0,7,1,43,1
255,4.75,4.0,8,3,43,1
256,5.75,5.5,9,1,43,1
257,4.833333333,5.5,8,1,43,1
258,4.083333333,4.0,7,3,43,1
259,4.333333333,3.5,8,2,43,1
260,4.5,4.5,7,2,43,1
261,4.333333333,4.0,7,2,43,1
262,4.416666667,4.0,7,2,43,1
263,4.083333333,4.0,9,1,43,1
264,3.916666667,4.0,6,2,43,1
265,4.083333333,4.0,6,3,43,1
266,4.416666667,4.0,8,1,43,1
267,4.75,5.0,7,1,43,1
268,4.583333333,4.0,9,3,43,1
269,4.25,4.5,7,1,43,1
270,4.416666667,4.0,6,3,43,1
271,4.5,4.5,6,3,43,1
272,4.416666667,5.0,7,1,43,1
273,3.833333333,4.0,5,1,43,1
274,4.083333333,4.0,7,2,43,1
275,5.25,5.5,7,2,43,1
276,5.083333333,5.0,9,2,43,1
277,4.583333333,4.0,8,2,43,1
278,4.833333333,5.0,7,2,43,1
279,4.666666667,5.0,7,3,43,1
280,5.333333333,5.5,7,3,43,1
281,4.166666667,4.0,8,2,43,1
282,4.583333333,4.5,7,2,43,1
283,4.416666667,4.0,6,2,43,1
284,4.0,3.0,7,1,43,1
285,4.083333333,4.0,6,1,43,1
286,4.333333333,4.0,7,3,43,1
287,4.833333333,5.0,7,2,43,1
288,3.666666667,4.0,7,1,43,1
289,4.916666667,5.0,7,3,43,1
290,4.416666667,4.5,9,1,43,1
291,4.333333333,4.0,9,2,43,1
292,5.25,5.0,7,3,43,1
293,4.166666667,4.0,6,2,43,1
294,4.25,4.5,7,1,43,1
295,5.0,5.0,7,2,43,1
296,4.916666667,5.0,8,1,43,1
297,4.25,4.5,7,1,43,1
298,4.416666667,5.0,7,2,43,1
299,4.0,4.0,7,1,43,1
300,4.25,4.0,8,2,43,1
301,4.75,4.5,7,2,43,1
302,5.0,5.0,7,2,43,1
303,5.0,5.0,8,2,43,1
304,4.583333333,4.0,8,1,43,1
305,4.083333333,4.0,7,2,43,1
306,4.833333333,4.5,7,3,43,1
307,4.333333333,4.0,9,2,43,1
308,4.416666667,4.5,7,1,42,1
309,4.5,4.5,7,2,42,1
310,4.25,4.5,7,2,42,1
311,4.0,4.0,6,1,42,1
312,4.25,4.0,6,2,42,1
313,3.833333333,3.5,7,2,42,1
314,4.5,4.5,7,1,42,1
315,3.916666667,4.0,6,2,42,1
316,4.666666667,5.0,6,3,42,1
317,3.75,3.5,7,1,42,1
318,3.5,3.0,6,1,42,1
319,3.75,3.5,6,1,42,1
320,4.333333333,4.0,6,3,42,1
321,4.416666667,4.0,7,2,42,1
322,4.416666667,4.0,7,3,42,1
323,5.083333333,5.0,7,4,42,1
324,4.166666667,4.0,6,3,42,1
325,4.75,5.0,7,2,42,1
326,5.083333333,5.5,7,3,42,1
327,4.916666667,5.0,7,2,42,1
328,4.5,4.5,8,1,42,1
329,4.666666667,5.0,8,3,42,1
330,5.083333333,5.0,8,1,42,1
331,4.666666667,5.0,7,2,42,1
332,4.916666667,4.5,8,2,42,1
333,4.25,4.5,7,1,42,1
334,4.5,4.0,7,3,42,1
335,3.916666667,4.0,7,1,42,1
336,3.75,4.0,6,1,42,1
337,4.916666667,5.0,7,2,42,1
338,5.083333333,5.0,8,2,42,1
339,3.916666667,4.0,8,1,42,1
340,5.25,5.0,10,3,42,1
341,4.666666667,5.0,7,2,42,1
342,4.583333333,4.0,7,3,42,1
