,A,B,"dict(A,B)",#(A)+#(B)
0,602,632,0.0,2
1,765,822,0.0,2
2,843,887,0.0,2
3,1282,1344,0.0,2
4,1512,1579,0.0,2
5,1589,4196,0.0,3
6,1224,1229,0.0,2
7,1203,1204,0.0,2
8,998,1009,0.0,2
9,715,724,0.0,2
10,1369,1374,0.0,2
11,1406,4202,0.0,3
12,1522,1577,0.0,2
13,674,687,0.0,2
14,453,483,0.0,2
15,1111,1122,0.0,2
16,1764,1766,0.0,2
17,736,758,0.0,2
18,2670,2721,0.0,2
19,3223,3254,0.0,2
20,3237,3613,0.0,2
21,3288,3303,0.0,2
22,3768,4213,0.0,3
23,3404,3412,0.0,2
24,3074,3284,0.0,2
25,3318,4216,0.0,3
26,3233,3445,0.0,2
27,3650,4218,0.0,3
28,3008,3436,0.0,2
29,3545,4220,0.0,3
30,2844,3502,0.0,2
31,3533,4222,0.0,3
32,3653,4223,0.0,4
33,291,307,0.0,2
34,1108,1118,0.0,2
35,1286,1326,0.0,2
36,1435,1478,0.0,2
37,1143,1148,0.0,2
38,1170,4229,0.0,3
39,2357,2458,0.0,2
40,14,15,0.0,2
41,68,82,0.0,2
42,16,33,0.0,2
43,34,4234,0.0,3
44,145,156,0.0,2
45,278,287,0.0,2
46,331,341,0.0,2
47,352,358,0.0,2
48,295,302,0.0,2
49,327,337,0.0,2
50,362,369,0.0,2
51,509,543,0.0,2
52,662,686,0.0,2
53,457,478,0.0,2
54,567,585,0.0,2
55,868,881,0.0,2
56,885,4247,0.0,3
57,939,976,0.0,2
58,930,983,0.0,2
59,767,821,0.0,2
60,831,4251,0.0,3
61,838,4252,0.0,4
62,717,720,0.0,2
63,727,4254,0.0,3
64,756,4255,0.0,4
65,137,161,0.0,2
66,1354,1372,0.0,2
67,1362,1375,0.0,2
68,66,84,0.0,2
69,21,22,0.0,2
70,248,260,0.0,2
71,411,412,0.0,2
72,310,349,0.0,2
73,600,611,0.0,2
74,565,575,0.0,2
75,1089,1096,0.0,2
76,24,60,0.0,2
77,214,215,0.0,2
78,274,305,0.0,2
79,383,409,0.0,2
80,469,489,0.0,2
81,442,479,0.0,2
82,492,524,0.0,2
83,561,572,0.0,2
84,456,474,0.0,2
85,149,155,0.0,2
86,3042,3149,0.0,2
87,2962,3418,0.0,2
88,3344,3796,0.0,2
89,3588,3719,0.0,2
90,3285,3525,0.0,2
91,3792,4282,0.0,3
92,3087,3307,0.0,2
93,3216,3490,0.0,2
94,3607,3688,0.0,2
95,3197,3581,0.0,2
96,38,43,0.0,2
97,94,124,0.0,2
98,191,231,0.0,2
99,449,477,0.0,2
100,685,703,0.0,2
101,772,803,0.0,2
102,714,719,0.0,2
103,657,671,0.0,2
104,2089,2745,0.0,2
105,2342,3359,0.0,2
106,1711,1782,0.0,2
107,2932,3156,0.0,2
108,3605,3866,0.0,2
109,2867,3182,0.0,2
110,3317,4301,0.0,3
111,3054,3379,0.0,2
112,3190,3945,0.0,2
113,4007,4304,0.0,3
114,2970,3081,0.0,2
115,3371,4306,0.0,3
116,3331,3433,0.0,2
117,3246,3929,0.0,2
118,3790,3985,0.0,2
119,2533,2537,0.0,2
120,2539,4311,0.0,3
121,1658,2114,0.0,2
122,2116,4313,0.0,3
123,1722,1730,0.0,2
124,2003,2133,0.0,2
125,2449,2452,0.0,2
126,1804,1806,0.0,2
127,2011,4318,0.0,3
128,2097,4319,0.0,4
129,2234,4320,0.0,5
130,1688,1743,0.0,2
131,1746,4322,0.0,3
132,1850,4323,0.0,4
133,1879,4324,0.0,5
134,2115,4325,0.0,6
135,2002,2092,0.0,2
136,2159,4327,0.0,3
137,2512,4328,0.0,4
138,2215,2232,0.0,2
139,2337,4330,0.0,3
140,2341,4331,0.0,4
141,2360,4332,0.0,5
142,2651,2705,0.0,2
143,2809,4334,0.0,3
144,2471,2495,0.0,2
145,1201,1604,0.0,2
146,1860,1886,0.0,2
